역사_ID,역사명,호선,위도,경도,unique_name
1948,원흥,일산선,37.650658,126.872642,원흥_일산선
1916,소요산,경원선,37.9481,127.061034,소요산_경원선
1915,동두천,경원선,37.927878,127.05479,동두천_경원선
1914,보산,경원선,37.913702,127.057277,보산_경원선
1913,동두천중앙,경원선,37.901885,127.056482,동두천중앙_경원선
1912,지행,경원선,37.892334,127.055716,지행_경원선
1911,덕정,경원선,37.843188,127.061277,덕정_경원선
1910,덕계,경원선,37.818486,127.056486,덕계_경원선
1909,양주,경원선,37.774381,127.044708,양주_경원선
1908,녹양,경원선,37.75938,127.042292,녹양_경원선
1907,가능,경원선,37.748577,127.044213,가능_경원선
1906,의정부,경원선,37.738415,127.045958,의정부_경원선
1905,회룡,경원선,37.724416,127.04736,회룡_경원선
1904,망월사,경원선,37.709914,127.047455,망월사_경원선
1903,도봉산,경원선,37.689534,127.046049,도봉산_경원선
1902,도봉,경원선,37.679563,127.045595,도봉_경원선
1901,방학,경원선,37.667503,127.044273,방학_경원선
1891,인천,수인선,37.476403,126.617326,인천_수인선
1890,신포,수인선,37.46874,126.623853,신포_수인선
1889,숭의,수인선,37.460789,126.638297,숭의_수인선
1888,인하대,수인선,37.448493,126.649619,인하대_수인선
1886,송도,수인선,37.428514,126.657772,송도_수인선
1885,연수,수인선,37.417804,126.67894,연수_수인선
1884,원인재,수인선,37.413049,126.686648,원인재_수인선
1883,남동인더스파크,수인선,37.407722,126.695216,남동인더스파크_수인선
1882,호구포,수인선,37.401637,126.708627,호구포_수인선
1881,인천논현,수인선,37.400614,126.722478,인천논현_수인선
1880,소래포구,수인선,37.40095,126.733522,소래포구_수인선
1879,월곶,수인선,37.391769,126.742699,월곶_수인선
1878,달월,수인선,37.379681,126.745177,달월_수인선
1877,사리,수인선,37.28998,126.85685,사리_수인선
1876,야목,수인선,37.264179,126.879483,야목_수인선
1875,어천,수인선,37.250102,126.90879,어천_수인선
1874,오목천,수인선,37.24304,126.963676,오목천_수인선
1873,고색,수인선,37.24963,126.980248,고색_수인선
1872,매교,분당선,37.265481,127.015678,매교_분당선
1871,수원시청,분당선,37.261911,127.030736,수원시청_분당선
1870,매탄권선,분당선,37.252759,127.040566,매탄권선_분당선
1869,망포,분당선,37.245795,127.057353,망포_분당선
1868,영통,분당선,37.251568,127.071394,영통_분당선
1867,청명,분당선,37.259489,127.078934,청명_분당선
1866,상갈,분당선,37.26181,127.108847,상갈_분당선
1865,기흥,분당선,37.275061,127.11591,기흥_분당선
1864,신갈,분당선,37.286102,127.111313,신갈_분당선
1863,구성,분당선,37.298969,127.105664,구성_분당선
1862,죽전,분당선,37.324753,127.107395,죽전_분당선
1861,보정,분당선,37.312752,127.108196,보정_분당선
1860,이매,분당선,37.395371,127.128248,이매_분당선
1859,오리,분당선,37.339824,127.108942,오리_분당선
1858,미금,분당선,37.350077,127.10891,미금_분당선
1857,정자,분당선,37.365994,127.10807,정자_분당선
1856,수내,분당선,37.378455,127.114322,수내_분당선
1855,서현,분당선,37.385126,127.123592,서현_분당선
1854,야탑,분당선,37.411185,127.128715,야탑_분당선
1853,모란,분당선,37.432052,127.129104,모란_분당선
1852,태평,분당선,37.440019,127.127709,태평_분당선
1851,가천대,분당선,37.448605,127.126697,가천대_분당선
1850,선정릉,분당선,37.510735,127.043677,선정릉_분당선
1849,강남구청,분당선,37.517469,127.041151,강남구청_분당선
1848,압구정로데오,분당선,37.527381,127.040534,압구정로데오_분당선
1847,서울숲,분당선,37.543617,127.044707,서울숲_분당선
1846,수원,분당선,37.265917,126.999422,수원_분당선
1823,도화,경인선,37.46607,126.668672,도화_경인선
1822,중동,경인선,37.486562,126.764843,중동_경인선
1821,온수,경인선,37.492433,126.824086,온수_경인선
1817,도원,경인선,37.468446,126.642706,도원_경인선
1816,간석,경인선,37.464737,126.694181,간석_경인선
1815,부개,경인선,37.488418,126.74109,부개_경인선
1814,소사,경인선,37.482753,126.79544,소사_경인선
1813,구일,경인선,37.496756,126.870793,구일_경인선
1812,인천,경인선,37.476079,126.616801,인천_경인선
1811,동인천,경인선,37.475276,126.632802,동인천_경인선
1810,제물포,경인선,37.466769,126.656666,제물포_경인선
1809,주안,경인선,37.465047,126.679742,주안_경인선
1808,동암,경인선,37.471408,126.702896,동암_경인선
1807,백운,경인선,37.483664,126.707704,백운_경인선
1806,부평,경인선,37.489445,126.724506,부평_경인선
1805,송내,경인선,37.4876,126.753664,송내_경인선
1804,부천,경인선,37.48405,126.782686,부천_경인선
1803,역곡,경인선,37.485178,126.811502,역곡_경인선
1802,오류동,경인선,37.494526,126.845365,오류동_경인선
1801,개봉,경인선,37.494594,126.85968,개봉_경인선
1763,수리산,안산선,37.349801,126.925365,수리산_안산선
1762,오이도,안산선,37.362357,126.738714,오이도_안산선
1761,정왕,안산선,37.351735,126.742989,정왕_안산선
